Time,Regime
2025-03-17 00:00:02.292235568 +0530 IST,0
2025-03-17 00:00:03.292064236 +0530 IST,2
2025-03-17 00:00:04.292280865 +0530 IST,2
2025-03-17 00:00:05.29238442 +0530 IST,2
2025-03-17 00:00:06.292346353 +0530 IST,2
2025-03-17 00:00:07.292291408 +0530 IST,2
2025-03-17 00:00:08.292413038 +0530 IST,2
2025-03-17 00:00:09.292328343 +0530 IST,2
2025-03-17 00:00:10.292232711 +0530 IST,2
2025-03-17 00:00:11.29220398 +0530 IST,2
2025-03-17 00:00:12.292221323 +0530 IST,2
2025-03-17 00:00:13.292443557 +0530 IST,2
2025-03-17 00:00:14.29199551 +0530 IST,2
2025-03-17 00:00:15.292219063 +0530 IST,2
2025-03-17 00:00:16.292347383 +0530 IST,2
2025-03-17 00:00:17.292566636 +0530 IST,2
2025-03-17 00:00:18.292451848 +0530 IST,2
2025-03-17 00:00:19.292225633 +0530 IST,2
2025-03-17 00:00:20.292280469 +0530 IST,2
2025-03-17 00:00:21.292485815 +0530 IST,2
2025-03-17 00:00:22.292704204 +0530 IST,2
2025-03-17 00:00:23.292389666 +0530 IST,2
2025-03-17 00:00:24.292215547 +0530 IST,2
2025-03-17 00:00:25.292184454 +0530 IST,2
2025-03-17 00:00:26.292391042 +0530 IST,2
2025-03-17 00:00:27.292507634 +0530 IST,2
2025-03-17 00:00:28.292369309 +0530 IST,2
2025-03-17 00:00:29.292450507 +0530 IST,2
2025-03-17 00:00:30.292165933 +0530 IST,2
2025-03-17 00:00:31.292214008 +0530 IST,2
2025-03-17 00:00:32.292374082 +0530 IST,2
2025-03-17 00:00:33.292278692 +0530 IST,2
2025-03-17 00:00:34.292654156 +0530 IST,2
2025-03-17 00:00:35.293254922 +0530 IST,2
2025-03-17 00:00:36.292223546 +0530 IST,2
2025-03-17 00:00:37.360805984 +0530 IST,2
2025-03-17 00:00:38.29240916 +0530 IST,2
2025-03-17 00:00:39.292375044 +0530 IST,2
2025-03-17 00:00:40.292404143 +0530 IST,2
2025-03-17 00:00:41.292363931 +0530 IST,2
2025-03-17 00:00:42.292629855 +0530 IST,2
2025-03-17 00:00:43.292820531 +0530 IST,0
2025-03-17 00:00:44.292545268 +0530 IST,0
2025-03-17 00:00:45.292279834 +0530 IST,0
2025-03-17 00:00:46.292274933 +0530 IST,0
2025-03-17 00:00:47.292238634 +0530 IST,0
2025-03-17 00:00:48.293438413 +0530 IST,0
2025-03-17 00:00:49.292193534 +0530 IST,0
2025-03-17 00:00:50.292296526 +0530 IST,0
2025-03-17 00:00:51.292490258 +0530 IST,0
2025-03-17 00:00:52.292179467 +0530 IST,0
2025-03-17 00:00:53.292223968 +0530 IST,0
2025-03-17 00:00:54.292265689 +0530 IST,0
2025-03-17 00:00:55.292192961 +0530 IST,0
2025-03-17 00:00:56.292400979 +0530 IST,0
2025-03-17 00:00:57.292161823 +0530 IST,0
2025-03-17 00:00:58.292084536 +0530 IST,0
2025-03-17 00:00:59.292151367 +0530 IST,0
2025-03-17 00:01:00.297269082 +0530 IST,0
2025-03-17 00:01:01.292144206 +0530 IST,0
2025-03-17 00:01:02.292536136 +0530 IST,0
2025-03-17 00:01:03.292197899 +0530 IST,0
2025-03-17 00:01:04.292264812 +0530 IST,0
2025-03-17 00:01:05.29224767 +0530 IST,0
2025-03-17 00:01:06.292408653 +0530 IST,0
2025-03-17 00:01:07.292273088 +0530 IST,0
2025-03-17 00:01:08.292256265 +0530 IST,0
2025-03-17 00:01:09.292164047 +0530 IST,0
2025-03-17 00:01:10.292433901 +0530 IST,0
2025-03-17 00:01:11.292110745 +0530 IST,0
2025-03-17 00:01:12.292126004 +0530 IST,0
2025-03-17 00:01:13.292447358 +0530 IST,0
2025-03-17 00:01:14.292241612 +0530 IST,0
2025-03-17 00:01:15.292526471 +0530 IST,2
2025-03-17 00:01:16.292521642 +0530 IST,2
2025-03-17 00:01:17.292162408 +0530 IST,0
2025-03-17 00:01:18.292332687 +0530 IST,0
2025-03-17 00:01:19.2928671 +0530 IST,0
2025-03-17 00:01:20.292260232 +0530 IST,0
2025-03-17 00:01:21.292456349 +0530 IST,0
2025-03-17 00:01:22.292194456 +0530 IST,0
2025-03-17 00:01:23.292341558 +0530 IST,0
2025-03-17 00:01:24.292411286 +0530 IST,0
2025-03-17 00:01:25.292254224 +0530 IST,2
2025-03-17 00:01:26.292313735 +0530 IST,2
2025-03-17 00:01:27.292564347 +0530 IST,2
2025-03-17 00:01:28.292551528 +0530 IST,2
2025-03-17 00:01:29.292196171 +0530 IST,2
2025-03-17 00:01:30.292240424 +0530 IST,2
2025-03-17 00:01:31.292109002 +0530 IST,2
2025-03-17 00:01:32.292710141 +0530 IST,0
2025-03-17 00:01:33.292080076 +0530 IST,0
2025-03-17 00:01:34.2925862 +0530 IST,0
2025-03-17 00:01:35.29231942 +0530 IST,0
2025-03-17 00:01:36.29233353 +0530 IST,0
2025-03-17 00:01:37.292292848 +0530 IST,0
2025-03-17 00:01:38.292116368 +0530 IST,0
2025-03-17 00:01:39.292534925 +0530 IST,0
2025-03-17 00:01:40.292364427 +0530 IST,0
2025-03-17 00:01:41.292351487 +0530 IST,0
2025-03-17 00:01:42.292259631 +0530 IST,0
2025-03-17 00:01:43.292082226 +0530 IST,0
2025-03-17 00:01:44.292296301 +0530 IST,0
2025-03-17 00:01:45.292454887 +0530 IST,0
2025-03-17 00:01:46.292433877 +0530 IST,0
2025-03-17 00:01:47.292177235 +0530 IST,0
2025-03-17 00:01:48.292700358 +0530 IST,0
2025-03-17 00:01:49.292215379 +0530 IST,0
2025-03-17 00:01:50.292372714 +0530 IST,0
2025-03-17 00:01:51.292396625 +0530 IST,0
2025-03-17 00:01:52.292394378 +0530 IST,0
2025-03-17 00:01:53.293008737 +0530 IST,0
2025-03-17 00:01:54.292300327 +0530 IST,0
2025-03-17 00:01:55.292115318 +0530 IST,0
2025-03-17 00:01:56.292166264 +0530 IST,0
2025-03-17 00:01:57.292543191 +0530 IST,0
2025-03-17 00:01:58.292557574 +0530 IST,0
2025-03-17 00:01:59.292344326 +0530 IST,0
2025-03-17 00:02:00.292183184 +0530 IST,0
2025-03-17 00:02:01.292342807 +0530 IST,0
2025-03-17 00:02:02.292393312 +0530 IST,0
2025-03-17 00:02:03.292102968 +0530 IST,0
2025-03-17 00:02:04.292230212 +0530 IST,0
2025-03-17 00:02:05.292416707 +0530 IST,0
2025-03-17 00:02:06.292721089 +0530 IST,0
2025-03-17 00:02:07.292224022 +0530 IST,0
2025-03-17 00:02:08.292397137 +0530 IST,0
2025-03-17 00:02:09.292398851 +0530 IST,0
2025-03-17 00:02:10.292274589 +0530 IST,0
2025-03-17 00:02:11.292137973 +0530 IST,0
2025-03-17 00:02:12.29237721 +0530 IST,0
2025-03-17 00:02:13.292308156 +0530 IST,0
2025-03-17 00:02:14.292315313 +0530 IST,0
2025-03-17 00:02:15.29223761 +0530 IST,0
2025-03-17 00:02:16.292321942 +0530 IST,0
2025-03-17 00:02:17.29270789 +0530 IST,0
2025-03-17 00:02:18.292234187 +0530 IST,0
2025-03-17 00:02:19.292302931 +0530 IST,0
2025-03-17 00:02:20.292372107 +0530 IST,0
2025-03-17 00:02:21.292324134 +0530 IST,0
2025-03-17 00:02:22.292373751 +0530 IST,0
2025-03-17 00:02:23.292424779 +0530 IST,0
2025-03-17 00:02:24.292218478 +0530 IST,0
2025-03-17 00:02:25.292429388 +0530 IST,0
2025-03-17 00:02:26.292163031 +0530 IST,0
2025-03-17 00:02:27.292403049 +0530 IST,0
2025-03-17 00:02:28.292153489 +0530 IST,0
2025-03-17 00:02:29.292302743 +0530 IST,0
2025-03-17 00:02:30.292272906 +0530 IST,0
2025-03-17 00:02:31.292200215 +0530 IST,0
2025-03-17 00:02:32.292241085 +0530 IST,0
2025-03-17 00:02:33.292440901 +0530 IST,0
2025-03-17 00:02:34.29257352 +0530 IST,0
2025-03-17 00:02:35.292209066 +0530 IST,0
2025-03-17 00:02:36.292133806 +0530 IST,0
2025-03-17 00:02:37.292308327 +0530 IST,0
2025-03-17 00:02:38.292162065 +0530 IST,0
2025-03-17 00:02:39.292162272 +0530 IST,0
2025-03-17 00:02:40.292333592 +0530 IST,0
2025-03-17 00:02:41.292202504 +0530 IST,0
2025-03-17 00:02:42.29246132 +0530 IST,0
2025-03-17 00:02:43.292184014 +0530 IST,0
2025-03-17 00:02:44.29205145 +0530 IST,0
2025-03-17 00:02:45.292191282 +0530 IST,0
2025-03-17 00:02:46.292311451 +0530 IST,0
2025-03-17 00:02:47.29231188 +0530 IST,0
2025-03-17 00:02:48.292145353 +0530 IST,0
2025-03-17 00:02:50.292440235 +0530 IST,0
2025-03-17 00:02:51.292274989 +0530 IST,0
2025-03-17 00:02:52.292357662 +0530 IST,0
2025-03-17 00:02:53.292508839 +0530 IST,0
2025-03-17 00:02:54.292263934 +0530 IST,0
2025-03-17 00:02:55.292580006 +0530 IST,0
2025-03-17 00:02:56.293251998 +0530 IST,0
2025-03-17 00:02:57.292161214 +0530 IST,0
2025-03-17 00:02:58.292178377 +0530 IST,0
2025-03-17 00:02:59.292110321 +0530 IST,0
2025-03-17 00:03:00.292302546 +0530 IST,0
2025-03-17 00:03:01.292431182 +0530 IST,0
2025-03-17 00:03:02.292265452 +0530 IST,0
2025-03-17 00:03:03.292527576 +0530 IST,0
2025-03-17 00:03:04.292306318 +0530 IST,0
2025-03-17 00:03:05.292635074 +0530 IST,0
2025-03-17 00:03:06.292240261 +0530 IST,0
2025-03-17 00:03:07.292389536 +0530 IST,0
2025-03-17 00:03:08.292500803 +0530 IST,0
2025-03-17 00:03:09.292229876 +0530 IST,0
2025-03-17 00:03:10.292374732 +0530 IST,0
2025-03-17 00:03:11.292195443 +0530 IST,0
2025-03-17 00:03:12.292318042 +0530 IST,0
2025-03-17 00:03:13.305395497 +0530 IST,0
2025-03-17 00:03:14.292115302 +0530 IST,2
2025-03-17 00:03:15.292316879 +0530 IST,2
2025-03-17 00:03:16.292307132 +0530 IST,2
2025-03-17 00:03:17.292111317 +0530 IST,2
2025-03-17 00:03:18.292476651 +0530 IST,2
2025-03-17 00:03:19.292382003 +0530 IST,2
2025-03-17 00:03:20.29230545 +0530 IST,2
2025-03-17 00:03:21.292322101 +0530 IST,2
2025-03-17 00:03:22.292195359 +0530 IST,2
2025-03-17 00:03:23.2921705 +0530 IST,2
2025-03-17 00:03:24.29226019 +0530 IST,2
2025-03-17 00:03:25.292252424 +0530 IST,2
2025-03-17 00:03:26.29247689 +0530 IST,2
2025-03-17 00:03:27.292558438 +0530 IST,2
2025-03-17 00:03:28.292238493 +0530 IST,2
2025-03-17 00:03:29.292561431 +0530 IST,2
2025-03-17 00:03:30.292391194 +0530 IST,2
2025-03-17 00:03:31.292520368 +0530 IST,2
2025-03-17 00:03:32.29363246 +0530 IST,2
2025-03-17 00:03:33.292605749 +0530 IST,2
2025-03-17 00:03:34.292376467 +0530 IST,2
2025-03-17 00:03:35.292337733 +0530 IST,2
2025-03-17 00:03:36.292428375 +0530 IST,2
2025-03-17 00:03:37.292374575 +0530 IST,2
